osm_id,name,type,wkt
3371584117,"F1/214/A-120","yes","POINT(16.159328 50.461358)"
3371584118,"F1/215/E","yes","POINT(16.15935 50.460515)"
3371584119,"F1/216/A-120","yes","POINT(16.161183 50.458293)"
3371584120,"F1/217/B2-100 Z","yes","POINT(16.162716 50.457072)"
3371584121,"F1/218/B1-80 Z","yes","POINT(16.162933 50.455393)"
3371584122,"F1/219/C1 Z","yes","POINT(16.16128 50.45246)"
3371584123,"F1/220/B1-80 Z","yes","POINT(16.163415 50.450005)"
3371584124,"F1/3/A-180","yes","POINT(16.16439 50.48231)"
3371584125,"F1/4/A-160","yes","POINT(16.16333 50.48087)"
3371584126,"F1/5/D2","yes","POINT(16.1624 50.479785)"
3371584127,"F1/6/D1","yes","POINT(16.161385 50.47971)"
3371584128,"F1/8/A-120","yes","POINT(16.16122 50.47493)"
3371584129,"F1/9/A-160","yes","POINT(16.16227 50.473605)"
3371584130,"F2/228/A-120","yes","POINT(16.087575 50.53082)"
3371584131,"F2/229/A-160","yes","POINT(16.088605 50.53016)"
3371584132,"F2/230/A-140","yes","POINT(16.089165 50.528925)"
3371584133,"F2/231/A-140 Z","yes","POINT(16.089925 50.528055)"
3371584134,"F2/232/A-140 Z","yes","POINT(16.092215 50.525775)"
3371584135,"F2/233/C1","yes","POINT(16.09219 50.52421)"
3371584136,"F2/234/A-160","yes","POINT(16.093613 50.52421)"
3371584137,"F2/235/A-180","yes","POINT(16.095345 50.522545)"
3371584138,"F2/236/A-160","yes","POINT(16.09641 50.520375)"
3371584139,"F2/237/A-120","yes","POINT(16.097277 50.519113)"
3371584140,"F2/238/A-140","yes","POINT(16.09943 50.517907)"
3371584141,"F2/239/A-120","yes","POINT(16.101577 50.516347)"
3371584142,"F2/240/C1","yes","POINT(16.101863 50.516033)"
3371584143,"F2/246/A-140","yes","POINT(16.1094 50.510965)"
3371584144,"F2/247/A-140","yes","POINT(16.111735 50.509475)"
3371584145,"F2/248/A-140","yes","POINT(16.11432 50.50798)"
3371584146,"F2/249/A-160 Z","yes","POINT(16.11655 50.50715)"
3371584147,"F2/250/A-140","yes","POINT(16.119955 50.506045)"
3371584148,"F2/251/D2","yes","POINT(16.122785 50.505883)"
3371584149,"F2/252/D1","yes","POINT(16.12302 50.50569)"
3371584150,"F2/253/A-140","yes","POINT(16.124343 50.505205)"
3371584151,"F2/254/A-140","yes","POINT(16.125207 50.504913)"
3371584152,"F2/255/A-140 Z","yes","POINT(16.12667 50.50442)"
3371584153,"F2/256/A-120 Z","yes","POINT(16.12775 50.503803)"
3371584154,"F2/258/A-120","yes","POINT(16.131063 50.502683)"
3371584155,"F2/259/A-180","yes","POINT(16.133277 50.502677)"
3371584156,"F2/260/A-160","yes","POINT(16.134197 50.50218)"
3371584157,"F2/261/A-160","yes","POINT(16.136397 50.500973)"
3371584158,"F2/262/A-160","yes","POINT(16.137737 50.499927)"
3371584159,"F2/263/A-120","yes","POINT(16.138573 50.499367)"
3371584160,"F2/265/D2","yes","POINT(16.140637 50.498753)"
3371584161,"F2/266/D1","yes","POINT(16.140897 50.498553)"
3371584162,"F2/267/A-120","yes","POINT(16.142077 50.497233)"
3371584163,"F2/268/E","yes","POINT(16.142317 50.495377)"
3371584164,"F2/269/A-140","yes","POINT(16.14492 50.495963)"
3375049180,,"artwork","POINT(16.1631473 50.4164774)"
3371584165,"F2/270/A-160","yes","POINT(16.146658 50.495358)"
3371584166,"F2/271/A-140","yes","POINT(16.148068 50.494265)"
3371584167,"F2/273/A-160","yes","POINT(16.150368 50.493518)"
3371584168,"F2/274/A-140","yes","POINT(16.152348 50.491675)"
3371584169,"F2/275/A-120","yes","POINT(16.15291 50.491003)"
3371584170,"F2/276/A-180","yes","POINT(16.156407 50.490727)"
3371584171,"F2/277/A-160","yes","POINT(16.1594 50.48944)"
3371584172,"F2/278/A-160","yes","POINT(16.160677 50.48882)"
3371584173,"F2/279/A-180","yes","POINT(16.162013 50.48773)"
3371584174,"F2/53/A-140","yes","POINT(16.08929 50.53188)"
3371584175,"F2/54/A-140","yes","POINT(16.089615 50.53148)"
3371584176,"F2/55/A-160","yes","POINT(16.09117 50.529825)"
3371584177,"F2/56/A-180","yes","POINT(16.09211 50.528845)"
3371584178,"F2/57/A-160","yes","POINT(16.09407 50.526327)"
3371584179,"F2/58/A-160","yes","POINT(16.095557 50.52536)"
3371584180,"F2/59/A-160","yes","POINT(16.097277 50.523593)"
3371584181,"F2/60/A-140","yes","POINT(16.098213 50.521387)"
3371584182,"F2/61/A-140","yes","POINT(16.09991 50.5196)"
3371584183,"F2/62/A-160","yes","POINT(16.102015 50.518113)"
3371584184,"F2/63/A-140","yes","POINT(16.103863 50.516998)"
3371584185,"F2/64/D2","yes","POINT(16.104548 50.516562)"
3371584186,"F2/65/D1","yes","POINT(16.104977 50.516387)"
3371584187,"F2/66/A-140","yes","POINT(16.107275 50.514245)"
3371584188,"F2/67/A-160","yes","POINT(16.111995 50.512005)"
3371584189,"F2/68/A-160 Z","yes","POINT(16.11397 50.51092)"
3371584190,"F2/69/A-160 Z","yes","POINT(16.11638 50.510415)"
3371584191,"F2/70/A-180 Z","yes","POINT(16.12041 50.50918)"
3371584192,"F2/71/A-140 Z","yes","POINT(16.122757 50.508297)"
3371584193,"F2/72/A-160 Z","yes","POINT(16.126507 50.50705)"
3371584194,"F2/73/A-160 Z","yes","POINT(16.128203 50.506523)"
3371584195,"F2/75/A-160","yes","POINT(16.13442 50.50432)"
3371584196,"F2/76/A-140","yes","POINT(16.13725 50.502647)"
3371584197,"F2/79/A-140","yes","POINT(16.144277 50.4995)"
3371584198,"F2/80/D1","yes","POINT(16.144687 50.498997)"
3371584199,"F2/81/A-180","yes","POINT(16.1466 50.497408)"
3371584200,"F2/82/A-140","yes","POINT(16.146885 50.49675)"
3371584201,"F2/83/A-140","yes","POINT(16.14758 50.496063)"
3371584202,"F2/84/A-160","yes","POINT(16.150228 50.4951)"
3371584203,"F2/85/A-180 Z","yes","POINT(16.15245 50.494085)"
3371584204,"F2/86/A-140 Z","yes","POINT(16.15466 50.492523)"
3371584205,"F2/87/A-160 Z","yes","POINT(16.15614 50.491528)"
3371584206,"F2/89/A-160 Z","yes","POINT(16.159743 50.49027)"
3371584207,"F2/90/A-180 Z","yes","POINT(16.16183 50.489727)"
3371584208,"F2/91/A-160 Z","yes","POINT(16.162673 50.48874)"
3371584209,"F3/1/A-160 lom","yes","POINT(16.012818 50.57676)"
3371584210,"F3/10/A-180 Z","yes","POINT(16.023893 50.567673)"
3371584211,"F3/11/A-140 Z","yes","POINT(16.025988 50.56502)"
3371584212,"F3/12/A-160 Z","yes","POINT(16.02918 50.564006)"
3371584213,"F3/13/A-180 Z","yes","POINT(16.031388 50.562895)"
3371584214,"F3/14/A-160","yes","POINT(16.032307 50.562317)"
3371584215,"F3/15/A-140","yes","POINT(16.034633 50.560017)"
3371584216,"F3/16/A-160","yes","POINT(16.03595 50.559268)"
3371584217,"F3/17/A-140","yes","POINT(16.03728 50.558093)"
3371584218,"F3/18/A-160","yes","POINT(16.038744 50.557216)"
3371584219,"F3/19/A-180","yes","POINT(16.039855 50.556868)"
3371584220,"F3/2/D2","yes","POINT(16.013277 50.575747)"
3371584221,"F3/20/A-140","yes","POINT(16.040703 50.555963)"
3371584222,"F3/201/A-160","yes","POINT(16.010303 50.57714)"
3371584223,"F3/202/A-160","yes","POINT(16.011437 50.576207)"
3371584224,"F3/203/A-160","yes","POINT(16.012357 50.575533)"
3371584225,"F3/204/A-140","yes","POINT(16.01314 50.574848)"
3371584226,"F3/205/A-160","yes","POINT(16.02864 50.562997)"
3371584227,"F3/21/A-140","yes","POINT(16.042 50.55512)"
3371584228,"F3/22/A-140","yes","POINT(16.044423 50.55437)"
3371584229,"F3/223/A-160","yes","POINT(16.0794 50.53688)"
3371584230,"F3/224/A-160","yes","POINT(16.08159 50.53566)"
3371584231,"F3/225/A-140","yes","POINT(16.08429 50.53443)"
3371584232,"F3/23/A-180","yes","POINT(16.04613 50.554235)"
3371584233,"F3/24/A-140","yes","POINT(16.047063 50.5537)"
3371584234,"F3/25/D1","yes","POINT(16.04769 50.553455)"
3371584235,"F3/26/A-140","yes","POINT(16.048753 50.552823)"
3371584236,"F3/27/A-160","yes","POINT(16.050337 50.552303)"
3371584237,"F3/28/D1","yes","POINT(16.051085 50.552)"
3371584238,"F3/29/A-160","yes","POINT(16.052297 50.55151)"
3371584239,"F3/3/D1","yes","POINT(16.013563 50.575477)"
3371584240,"F3/30/A-180","yes","POINT(16.053595 50.55081)"
3371584241,"F3/31/A-140","yes","POINT(16.054613 50.549157)"
3371584242,"F3/32/A-140","yes","POINT(16.05544 50.547785)"
3371584243,"F3/33/A-160","yes","POINT(16.05733 50.54708)"
3371584244,"F3/34/A-140","yes","POINT(16.059915 50.54581)"
3371584245,"F3/35/A-140","yes","POINT(16.061215 50.545225)"
3371584246,"F3/36/A-160","yes","POINT(16.063225 50.54445)"
3371584247,"F3/37/A-140","yes","POINT(16.065185 50.5435)"
3371584248,"F3/38/A-160","yes","POINT(16.06684 50.54296)"
3371584249,"F3/39/A-180","yes","POINT(16.07052 50.54201)"
3371584250,"F3/4/A-160 Z","yes","POINT(16.014637 50.574037)"
3371584251,"F3/40/A-140","yes","POINT(16.071175 50.541375)"
3371584252,"F3/41/A-140","yes","POINT(16.072107 50.541053)"
3371584253,"F3/47/A-160","yes","POINT(16.08207 50.53804)"
3371584254,"F3/48/A-180","yes","POINT(16.083325 50.537825)"
3371584255,"F3/49/A-140","yes","POINT(16.084115 50.53743)"
3371584256,"F3/5/A-180 Z","yes","POINT(16.01514 50.573823)"
3371584257,"F3/50/A-140","yes","POINT(16.086585 50.53579)"
3371584258,"F3/51/A-180","yes","POINT(16.08805 50.535095)"
3371584259,"F3/52/A-160","yes","POINT(16.08909 50.533445)"
3371584260,"F3/6/A-160 Z","yes","POINT(16.017115 50.57265)"
3371584261,"F3/7/A-160 Z","yes","POINT(16.02002 50.57115)"
3371584262,"F3/8/A-160 Z","yes","POINT(16.021605 50.570088)"
3371584263,"F3/9/A-180 Z","yes","POINT(16.02314 50.568387)"
3371584264,"G1/100/A-140","yes","POINT(15.955863 50.60192)"
3371584265,"G1/101/A-180","yes","POINT(15.95698 50.602003)"
3371584266,"G1/102/A-120","yes","POINT(15.95829 50.60029)"
3371584267,"G1/103/A-180","yes","POINT(15.961395 50.600398)"
3371584268,"G1/104/A-160 Z","yes","POINT(15.964307 50.599307)"
3371584269,"G1/105/E1","yes","POINT(15.96493 50.598093)"
3371584270,"G1/106/A-160 Z","yes","POINT(15.966097 50.5983)"
3371584271,"G1/107/A-140","yes","POINT(15.967575 50.597805)"
3371584272,"G1/108/A-180","yes","POINT(15.968275 50.5976)"
3371584273,"G1/109/A-160 Z","yes","POINT(15.968963 50.596743)"
3371584274,"G1/110/A-140","yes","POINT(15.969815 50.595975)"
3371584275,"G1/111/A-140","yes","POINT(15.970415 50.5957)"
3371584276,"G1/112/A-120","yes","POINT(15.97167 50.59541)"
3371584277,"G1/113/A-160","yes","POINT(15.97355 50.595485)"
3371584278,"G1/114/A-180","yes","POINT(15.97484 50.595535)"
3371584279,"G1/115/A-180 Z","yes","POINT(15.976767 50.594917)"
3371584280,"G1/116/C2","yes","POINT(15.978356 50.593312)"
3371584281,"G1/117/A-200","yes","POINT(15.980213 50.593373)"
3371584282,"G1/118/A-140","yes","POINT(15.980515 50.592045)"
3371584283,"G1/119/A-140","yes","POINT(15.981783 50.591113)"
3371584284,"G1/120/D2 Z","yes","POINT(15.98437 50.590353)"
3371584285,"G1/121/D1","yes","POINT(15.984577 50.590043)"
3371584286,"G1/122/B1-80 lom","yes","POINT(15.985073 50.588653)"
