nazev_banky,mesto,banka_id,wkt
"Česká Spořitelna","Úpice","ceska_sporitelna","POINT(16.0207931048482 50.5100370117473)"
"GE Money Bank, a.s.","Trutnov","ge_money_bank","POINT(15.9101364459322 50.562433817749)"
"Česká Spořitelna","Nová        Paka","ceska_sporitelna","POINT(15.5160072037083 50.4949609117832)"
"Česká Spořitelna","Solnice","ceska_sporitelna","POINT(16.2375087053712 50.2034785111304)"
"Komerční banka, a.s.","Sobotka","komercni_banka","POINT(15.1749272626257 50.4663526799818)"
"GE Money Bank, a.s.","Hradec Králové","ge_money_bank","POINT(15.8489333308432 50.1970137399889)"
"Wüstenrot","Nová Paka","wustenrot","POINT(15.5162218218936 50.4948726975539)"
"Poštovní spořitelna","Trutnov","postovni_sporitelna","POINT(15.9128543685527 50.559940736714)"
"Česká Spořitelna","Rokytnice        v        Orlických        horách","ceska_sporitelna","POINT(16.4661293058839 50.1654540110245)"
"Československá obchodní banka, a. s.","Chlumec nad Cidlinou ","csob","POINT(15.4629020031386 50.1538403511334)"
"Česká Spořitelna","Nový        Bydžov","ceska_sporitelna","POINT(15.491739203687 50.2409872112983)"
"Raiffeisen stavební spořitelna a.s.","Dvůr Králové nad Labem ","raiffeisen_stav","POINT(15.815123816939 50.4337604081061)"
"Modrá pyramida stavební spořitelna, a.s.","Rychnov nad Kněžnou","modra_pyramida","POINT(16.2749481442796 50.1613551008757)"
"Komerční banka, a.s.","Nový Bydžov","komercni_banka","POINT(15.4901564775624 50.2418405392534)"
"Airbank, a.s.","Hradec Králové","airbank","POINT(15.8131085647414 50.2136491992746)"
"Komerční banka, a.s.","Kostelec nad Orlicí","komercni_banka","POINT(16.2126628683082 50.1230070285131)"
"Československá obchodní banka, a. s.","Hradec Králové ","csob","POINT(15.8168545512297 50.2128371244251)"
"Komerční banka, a.s.","Chlumec nad Cidlinou","komercni_banka","POINT(15.4626191448796 50.1538037776307)"
"Česká Spořitelna","Týniště        nad        Orlicí","ceska_sporitelna","POINT(16.074018305012 50.1480061110458)"
"Fio banka, a.s.","Hradec Králové","fio_banka","POINT(15.8246389761123 50.2124327549327)"
"GE Money Bank, a.s.","Dobruška","ge_money_bank","POINT(16.1600417009105 50.2913959644325)"
"Česká Spořitelna","Jaroměř","ceska_sporitelna","POINT(15.9170646046345 50.3555754114661)"
"Wüstenrot","Jičín","wustenrot","POINT(15.3528403475323 50.4373739724117)"
"Komerční banka, a.s.","Vrchlabí","komercni_banka","POINT(15.6121395157313 50.6241261313708)"
"Raiffeisen stavební spořitelna a.s.","Chlumec nad Cidlinou ","raiffeisen_stav","POINT(15.4615551404632 50.1544700759731)"
"Československá obchodní banka, a. s.","Nová Paka ","csob","POINT(15.5199165065217 50.4928471931676)"
"Česká Spořitelna","Jičín","ceska_sporitelna","POINT(15.3557103033514 50.4346904116867)"
"Modrá pyramida stavební spořitelna, a.s.","Nový Bydžov","modra_pyramida","POINT(15.4917943706996 50.2413047790175)"
"Českomoravská stavební spořitelna, a.s.","Jičín","cmss","POINT(15.3566277659786 50.4359970073058)"
"GE Money Bank, a.s.","Vrchlabí","ge_money_bank","POINT(15.6121395157313 50.6241261313708)"
"Komerční banka, a.s.","Rychnov nad Kněžnou","komercni_banka","POINT(16.273783098719 50.1633095337378)"
"Česká Spořitelna","Sobotka","ceska_sporitelna","POINT(15.1794106029436 50.4677228117695)"
"Česká Spořitelna","Hronov","ceska_sporitelna","POINT(16.1823708052148 50.4781971116643)"
"Česká Spořitelna","Lázně        Bělohrad","ceska_sporitelna","POINT(15.5824793038684 50.4288920116488)"
"Česká Spořitelna","Kostelec        nad        Orlicí","ceska_sporitelna","POINT(16.2108852053208 50.1230255109789)"
"Modrá pyramida stavební spořitelna, a.s.","Trutnov","modra_pyramida","POINT(15.9126730510112 50.559945463251)"
"Wüstenrot","Rychnov
nad
Kněžnou","wustenrot","POINT(16.2745201871195 50.162586406745)"
"Československá obchodní banka, a. s.","Dvůr Králové nad Labem ","csob","POINT(15.8130317771209 50.4310485435202)"
"Modrá pyramida stavební spořitelna, a.s.","Dobruška","modra_pyramida","POINT(16.1594639369581 50.2933778255526)"
"Československá obchodní banka, a. s.","Náchod ","csob","POINT(16.1650816512417 50.4174969623149)"
"Česká Spořitelna","Trutnov","ceska_sporitelna","POINT(15.9134226045997 50.560192611857)"
"Československá obchodní banka, a. s.","Trutnov ","csob","POINT(15.9095000178549 50.5626951253275)"
"Komerční banka, a.s.","Jičín","komercni_banka","POINT(15.3539826656983 50.4341159068294)"
"Česká Spořitelna","Rychnov        nad        Kněžnou","ceska_sporitelna","POINT(16.2752558054598 50.1632920110477)"
"Komerční banka, a.s.","Lázně Bělohrad","komercni_banka","POINT(15.5843342415014 50.4294546625912)"
"Československá obchodní banka, a. s.","Hradec Králové ","csob","POINT(15.8284460462352 50.2082576867225)"
"Raiffeisenbank a.s.","Hradec Králové","raiffeisenbank","POINT(15.830801604058 50.2098741694646)"
"Raiffeisen stavební spořitelna a.s.","Hradec Králové ","raiffeisen_stav","POINT(15.8317314789471 50.2097202753758)"
"Hypoteční banka, a.s.","Rychnov nad Kněžnou","hypotecni_banka","POINT(16.2753760730425 50.1590264742713)"
"Českomoravská stavební spořitelna, a.s.","Broumov","cmss","POINT(16.3290690929083 50.5880461561963)"
"GE Money Bank, a.s.","Praha 1","ge_money_bank","POINT(15.830801604058 50.2098741694646)"
"Česká Spořitelna","Střelecká","ceska_sporitelna","POINT(15.821594804437 50.2135850112053)"
"Modrá pyramida stavební spořitelna, a.s.","Jičín","modra_pyramida","POINT(15.3573938401817 50.4360074685042)"
"Česká Spořitelna","Dvůr        Králové        nad        Labem","ceska_sporitelna","POINT(15.8141382043926 50.4322389116262)"
"Česká Spořitelna","Chlumec        nad        Cidlinou","ceska_sporitelna","POINT(15.4591346036236 50.1568966111393)"
"Raiffeisenbank a.s.","Trutnov","raiffeisenbank","POINT(15.9119154876983 50.5612769337109)"
"Komerční banka, a.s.","Třebechovice pod Orebem","komercni_banka","POINT(15.9930351825867 50.2012905656309)"
"Raiffeisenbank a.s.","Hradec Králové","raiffeisenbank","POINT(15.8034393106203 50.1905163218293)"
